MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,18,"Orbformer scratch, all structures",32000,-79.64612246059842
Ethane,19,"Orbformer scratch, all structures",32000,-79.64569160862858
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",250,-79.80727954864501
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",250,-79.80579012383355
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",250,-79.79869137827555
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",250,-79.75000264706082
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",250,-79.68610969650783
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",250,-79.62787125913832
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",250,-79.60509660737779
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",250,-79.57218052283393
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",250,-79.56836024178399
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",250,-79.60942616407607
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",250,-79.6200687590705
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",250,-79.62510767322117
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",250,-79.62590412122938
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",250,-79.62645072750516
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",250,-79.62794199006822
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",250,-79.6274747253418
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",250,-79.62921751725939
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",250,-79.62908066024781
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",250,-79.62954883492282
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",250,-79.63011367967394
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",1000,-79.80731265640259
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",1000,-79.80458336427476
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",1000,-79.79756470235189
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",1000,-79.7512834637112
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",1000,-79.69028492669
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",1000,-79.63413966098362
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",1000,-79.61075269970364
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",1000,-79.57428694373236
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",1000,-79.56966454077826
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",1000,-79.61083969811334
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62007964367336
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62406806691487
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62497723871867
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62596757955323
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62678083928427
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",1000,-79.6279330356174
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",1000,-79.62844525756836
