Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,CN2H2,4000,7,-148.7013184311712+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,8,-148.63301997878824+/-0
orbformer_finetune_joint_tm_512k,CN2H2,4000,9,-148.69381979803032+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,0,-148.6579403430093+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,1,-148.66838779886734+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,2,-148.70441422280723+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,3,-148.67042204558135+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,4,-148.687415199533+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,5,-148.64634338002762+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,6,-148.67488410316818+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,7,-148.7027550729801+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,8,-148.63486216531896+/-0
orbformer_finetune_joint_tm_512k,CN2H2,8000,9,-148.69432162442166+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,0,-148.6642873209892+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,1,-148.6713633733635+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,2,-148.7106989980905+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,3,-148.6772508054593+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,4,-148.69290812860132+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,5,-148.65397422229077+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,6,-148.68022415135954+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,7,-148.71015100246893+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,8,-148.64096941114147+/-0
orbformer_finetune_joint_tm_512k,CN2H2,16000,9,-148.70032968506337+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,0,-148.67246768029858+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,1,-148.6825114753998+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,2,-148.72211120449822+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,3,-148.68674728851525+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,4,-148.7014423075045+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,5,-148.66180285410604+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,6,-148.68898033791766+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,7,-148.71957770556986+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,8,-148.65012016775154+/-0
orbformer_finetune_joint_tm_512k,CN2H2,32000,9,-148.70719560987206+/-0
orbformer_finetune_joint_tm_512k,CNH,0,0,-93.40477621938798+/-0
orbformer_finetune_joint_tm_512k,CNH,0,1,-93.3978738807997+/-0
orbformer_finetune_joint_tm_512k,CNH,0,2,-93.40248839669258+/-0
orbformer_finetune_joint_tm_512k,CNH,0,3,-93.4254100611423+/-0
orbformer_finetune_joint_tm_512k,CNH,0,4,-93.29498769211837+/-0
orbformer_finetune_joint_tm_512k,CNH,0,5,-93.34344796717782+/-0
orbformer_finetune_joint_tm_512k,CNH,0,6,-93.41453016194528+/-0
orbformer_finetune_joint_tm_512k,CNH,0,7,-93.40555566774621+/-0
orbformer_finetune_joint_tm_512k,CNH,0,8,-93.41747449135667+/-0
orbformer_finetune_joint_tm_512k,CNH,0,9,-93.41528838395644+/-0
